FrameNo,Joy Evidence,Anger Evidence,Surprise Evidence,Fear Evidence,Sadness Evidence
271,0.795567915,0.870269352,0.495128914,0.766719165,0.737418168
272,0.758342919,0.756874207,0.533009883,0.720313107,0.773277176
273,0.825903698,0.832382464,0.521162166,0.734230091,0.74637528
274,0.815777547,0.814808248,0.626964397,0.784574551,0.777718405
275,0.661562091,0.409806916,0,0.35403476,0.839230993
276,0.879021315,0.671317518,0.246893664,0.650781633,0.845712816
277,0.845079273,0.742556004,0.320347578,0.680397247,0.898623456
278,0.855069239,0.718484057,0.376605023,0.715697159,0.833714296
279,0.86573278,0.885131286,0.414187753,0.749859838,0.86905822
280,0.864216369,0.85366813,0.505631421,0.756969371,0.862970989
281,0.820468923,0.816981932,0.475231686,0.70179703,0.834645715
282,0.836812442,0.840135493,0.499505602,0.703690943,0.808855735
283,0.818265014,0.869879241,0.505899053,0.760147631,0.835398003
284,0.868858904,0.809462375,0.482618451,0.74279106,0.695303601
285,0.785628872,0.818879688,0.53355454,0.750616845,0.750469766
286,0.887159248,0.868496511,0.531953257,0.750434493,0.840872654
287,0.772735635,0.764516479,0.584777608,0.754398686,0.784686847
288,0.889672464,0.82749231,0.565756713,0.749702044,0.728289282
289,0.793429528,0.836641905,0.534152486,0.760232006,0.821550873
290,0.728568433,0.848713717,0.412827182,0.722540661,0.805568221
291,0.725102122,0.857280808,0.51927577,0.739901691,0.802163309
292,0.886685547,0.887206149,0.530206072,0.806969229,0.799319904
293,0.704123592,0.831631572,0.51133133,0.753080446,0.816712044
294,0.866122095,0.876540244,0.549052038,0.790493809,0.83784655
295,0.87810157,0.889672621,0.448597117,0.820760916,0.827778226
296,0.587503998,0.795299585,0.149828528,0.58156594,0.735089557
297,0.70624052,0.749274952,0.407650006,0.63386077,0.771153883
298,0.856160187,0.850769227,0.370230557,0.744019452,0.785785144
299,0.616370478,0.747275323,0.366202277,0.628671637,0.783649956
300,0.709707471,0.815001657,0.427476934,0.637907392,0.770665715
301,0.809938895,0.852724833,0.488220221,0.767177376,0.790849855
302,0.701023631,0.817875891,0.274097611,0.561176798,0.732063545
303,0.688171533,0.804844575,0.376482868,0.604764873,0.827723727
304,0.872592444,0.802098026,0.501861586,0.731317273,0.778895103
305,0.474743554,0.868874906,0.121678688,0.436384706,0.763164465
306,0.197434492,0.836643346,0.138950342,0.431974821,0.753602891
307,0.820924537,0.887877639,0.434157562,0.768715223,0.832839029
308,0.492644812,0.805965172,0.290586014,0.526173174,0.735488977
309,0.621407622,0.780780337,0.387581942,0.572661372,0.721183317
310,0.656959177,0.796090659,0.464392554,0.624235694,0.714466413
311,0.515827376,0.821023737,0.280231941,0.502854759,0.700043478
312,0.57604029,0.830316858,0.290461597,0.556186292,0.758837782
313,0.641028941,0.834416457,0.385714405,0.609797381,0.763985253
314,0.524795087,0.852036657,0.195602938,0.484321861,0.773588608
315,0.650167843,0.868983066,0.259869109,0.612663248,0.803505175
316,0.814772088,0.838068526,0.412331765,0.733140997,0.757610851
317,0.865345296,0.807489435,0.43323152,0.739548455,0.758479581
318,0.763265238,0.800440288,0.435352841,0.664475975,0.741599611
319,0.843921486,0.827025823,0.497293426,0.750538839,0.75865828
320,0.812723917,0.811663793,0.396673051,0.713543579,0.742368832
321,0.633565926,0.834888862,0.423932729,0.576049503,0.772504639
322,0.789861234,0.834829611,0.401657114,0.655571299,0.727726003
323,0.632656227,0.785746189,0.321416059,0.559557019,0.726147408
